????,day1,day2,day3,day4,day5,day6,?????,1,day1,day2,day3,day4,day5,day6,?????,,,,,,
?,34.58333333,35.46666667,34.93333333,33.41666667,33.41666667,28.6,?,2,34.42333333,35.18,35.1,33.41666667,33.31666667,28.3,??,0.19,0.18,0.1,0.1,0,0
,34.81666667,35.51666667,35,33.5,33.5,28.51666667,,3,34.67666667,35.4,35.5,33.5,33.5,28.4,,0.51,0.5,0.6,0.2,0.2,0.1
,34.9,35.6,35,33.61666667,33.61666667,28.5,,4,34.77333333,35.57,35.5,33.8,33.7,28.3,,0.64,0.67,0.6,0.5,0.4,0
,34.98333333,35.63333333,35,33.66666667,33.66666667,28.5,,5,34.87,35.53,35.5,33.61666667,33.91666667,28.3,,0.77,0.53,0.6,0.4,0.7,0
,35,35.66666667,35.05,33.66666667,33.66666667,28.5,,6,34.89,35.63666667,35.7,33.5,33.9,28.5,,0.79,0.67,0.9,0.3,0.7,0.2
,35.01666667,35.7,35.05,33.6,33.6,28.48333333,,7,34.91,35.69333333,35.7,33.6,33.8,28.5,,0.81,0.71,0.9,0.4,0.6,0.3
,35.06666667,35.75,35.1,33.66666667,33.66666667,28.36666667,,8,34.97,35.85333333,35.9,33.7,34,28.4,,0.97,0.92,1.1,0.6,0.9,0.2
,35.08333333,35.8,35.1,33.7,33.7,28.31666667,,9,35,35.99,35.9,33.9,34.1,28.5,,1.1,1.09,1.1,0.8,1,0.3
,35.05,35.75,35.03333333,33.7,33.7,28.3,,10,34.97,35.89,35.7,34,34.2,28.6,,1.07,0.99,0.9,1,1.2,0.4
,35.1,35.7,35.1,33.63333333,33.63333333,28.25,,11,35.02,35.85333333,35.9,34,34.1,28.6,,1.12,1.02,1.1,1,1.1,0.4
,35.1,35.7,35.06666667,33.68333333,33.68333333,28.2,,12,35.02,35.96333333,35.9,34.1,34.2,28.7,,1.12,1.23,1,1.1,1.2,0.5
,35.122,35.73333333,35.05,33.78333333,33.78333333,28.2,,13,35.04,36.07,35.8,34.1,34.4,28.7,,1.14,1.37,0.9,1.1,1.4,0.5
,35.17,35.78333333,35.01666667,33.8,33.8,28.2,,14,35.1,36.15666667,35.7,34.3,34.4,28.7,,1.2,1.44,0.8,1.3,1.4,0.5
,35.2,35.8,35.06666667,33.78333333,33.78333333,28.2,,15,35.13,36.21,35.8,34.1,34.4,28.8,,1.23,1.51,1,1.1,1.4,0.7
,35.2,35.8,35.08333333,33.73333333,33.73333333,28.2,,16,35.12666667,36.17333333,35.8,34.3,34.5,29,,1.21,1.44,1,1.3,1.5,0.9
,35.3,35.7,35.1,33.7,33.7,28.2,,17,35.23,36.34666667,35.9,34.4,34.4,29,,1.23,1.68,1.1,1.4,1.4,0.9
,35.3,35.75,35.1,33.63333333,33.63333333,28.18333333,,18,35.23,36.38,35.9,34.3,34.6,28.9,,1.23,1.83,1.1,1.4,1.7,0.8
,35.4,35.7,35.1,33.6,33.6,28.13333333,,19,35.34,36.38,35.9,34.5,34.5,28.85,,1.34,1.83,1.1,1.6,1.6,0.8
,35.4,35.65,35.2,33.58333333,33.58333333,28.1,,20,35.34,36.27,36.15,34.56666667,34.46666667,28.9,,1.34,1.72,1.4,1.7,1.6,0.9
,35.3,35.61666667,35.13333333,33.48333333,33.48333333,28.1,,21,35.23,36.29666667,36.1,34.41666667,34.41666667,29.03333333,,1.23,1.83,1.4,1.7,1.7,1.1
,35,35.6,35.1,33.4,33.4,28.03333333,,22,35.34,36.43,36.05,34.31666667,34.51666667,28.9,,1.34,1.93,1.4,1.6,1.8,1
,35,35.55,35.1,33.35,33.35,27.98333333,,23,35.35,36.35666667,36.2,34.48333333,34.48333333,28.7,,1.4,1.89,1.6,1.7,1.7,0.8
,34.95,35.5,35.11666667,33.28333333,33.28333333,27.93333333,,24,35.29666667,36.40666667,36.2,34.28333333,34.38333333,28.98333333,,1.38,1.89,1.6,1.5,1.6,1.1
,34.9,35.46666667,35.15,33.18333333,33.18333333,27.9,,25,35.24,36.43333333,36.1,34.36666667,34.36666667,29,,1.34,2,1.6,1.6,1.6,1.2
,34.9,35.4,35.2,33.15,33.15,27.81666667,,26,35.24,36.24333333,36.2,34.4,34.4,28.9,,1.34,1.76,1.8,1.7,1.7,1.1
,34.9,35.4,35.2,33.2,33.2,27.8,,27,35.24333333,36.24333333,36.2,34,34.5,28.9,,1.41,1.76,1.8,1.3,1.8,1.1
,34.9,35.4,35.2,33.2,33.2,27.8,,28,35.25,36.27,36.5,34.1,34.5,29.03333333,,1.45,1.82,2.1,1.4,1.8,1.3
,34.9,35.33333333,35.05,33.16666667,33.16666667,27.8,,29,35.25,36.10333333,36.6,34.1,34.6,29.1,,1.45,1.62,2.2,1.4,1.9,1.4
,34.8,35.3,34.91666667,33.15,33.15,27.7,,30,35.14,35.95,36.2,34.4,34.6,28.8,,1.34,1.4,1.8,1.7,1.9,1.1
