"grid_id","grid_x","grid_y","pland_s_imp","cohesion_imp","pland_c_imp"
1,106.500912994983,29.4644197413417,56.62,96.16,56.62
2,106.664470257682,29.566798185193,25.31,92.21,25.31
3,106.497293647716,29.6856784018,2.18,58.05,2.18
4,106.500409478716,29.693281295668,5.07,79.1,5.07
5,106.592710480269,29.5621290693634,55.56,98.06,55.56
6,106.571437077604,29.5722564157059,100,100,100
7,106.539828775581,29.5394207725198,88.94,99.7,88.94
8,106.460385784269,29.6515063219112,21.88,84.05,21.88
9,106.55434259153,29.5671116646226,86.59,99.67,86.59
10,106.463983022724,29.61494397019,11.82,74.29,11.82
11,106.478707229349,29.5684528295469,79.53,99.4,79.53
12,106.461026741513,29.60637146441,24.71,93.99,24.71
13,106.484494251432,29.70573299705,9.38,81.9,9.38
14,106.679354989461,29.5695801718091,22.92,93.09,22.92
15,106.533494805737,29.5271275374978,73.48,99.14,73.48
